evaluationOfHilltown,transiency,impressionOfFriends,expectations,attitudeOfFriend,attitude,satisfactionInWorkplace,pastExperience,evaluationOfPhysicalAmenities,satisfactionInField,education,evaluationOfCoResidents,evaluationOfManagement,occupation
favorable,asLongAsEligible,NA,NA,NA,NA,NA,NA,NA,NA,gradeSchoolOrLess,favorable,NA,NA
favorable,permanent,favorable,mutualAcomodataion,NA,NA,fair,noBiracialLivingExperience,favorable,good,NA,NA,NA,semiSkilled
favorable,NA,NA,NA,liberalFriend,liberal,poor,NA,favorable,poor,NA,NA,NA,semiSkilled
NA,NA,favorableAndUnfavorable,NA,liberalFriend,ambivalent,poor,NA,unfavorable,poor,someHighSchool,NA,favorable,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,conflict,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
NA,NA,favorable,NA,liberalFriend,liberal,poor,NA,favorable,fair,someHighSchool,NA,favorable,unskilledDomesticPersonalService
NA,asLongAsEligible,NA,NA,liberalFriend,liberal,poor,NA,NA,poor,NA,favorable,NA,semiSkilled
favorable,NA,NA,integration,NA,NA,poor,biracialLivingExperience,favorable,good,NA,NA,NA,semiSkilled
favorable,neverThoughtAboutIt,NA,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,NA,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorableAndUnfavorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
favorable,untilBetterPlace,unfavorable,NA,NA,NA,fair,NA,favorable,fair,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,NA,NA,liberalFriend,liberal,NA,NA,NA,NA,someHighSchool,favorable,NA,NA
favorable,asLongAsEligible,favorableAndUnfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,unfavorable,NA,NA,NA,NA,NA
favorable,NA,favorable,NA,liberalFriend,ambivalent,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,untilBetterPlace,NA,NA,NA,NA,NA,NA,favorable,NA,NA,favorable,favorable,NA
NA,neverThoughtAboutIt,favorableAndUnfavorable,NA,liberalFriend,liberal,poor,NA,NA,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,NA,unfavorable,NA,NA,NA,hardToSay,NA,favorable,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,NA,NA,mutualAcomodataion,liberalFriend,liberal,NA,noBiracialLivingExperience,NA,NA,NA,NA,unfavorable,NA
favorable,NA,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
favorable,untilBetterPlace,favorable,NA,NA,NA,poor,NA,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,untilBetterPlace,NA,NA,NA,NA,poor,NA,favorable,good,gradeSchoolOrLess,NA,NA,semiSkilled
favorable,permanent,unfavorable,NA,ambivalentFriend,liberal,NA,NA,unfavorable,NA,NA,NA,NA,NA
favorable,asLongAsEligible,favorableAndUnfavorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,someHighSchool,favorable,NA,NA
favorable,untilOwnHome,favorableAndUnfavorable,NA,liberalFriend,liberal,NA,NA,NA,NA,someHighSchool,NA,NA,NA
favorable,untilBetterPlace,favorable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
favorable,untilBetterPlace,favorable,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
favorable,untilOwnHome,favorableAndUnfavorable,NA,liberalFriend,liberal,NA,NA,NA,NA,NA,NA,NA,NA
favorable,NA,NA,NA,NA,NA,good,NA,favorable,poor,NA,NA,NA,whiteColorSkilled
favorable,NA,favorable,NA,NA,NA,fair,NA,favorable,good,highSchoolGraduate,unfavorable,NA,semiSkilled
favorable,NA,NA,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,NA,good,NA,NA,NA,semiSkilled
favorable,NA,favorableAndUnfavorable,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,untilBetterPlace,favorable,mutualAcomodataion,NA,NA,good,biracialLivingExperience,NA,hardToSay,gradeSchoolOrLess,NA,NA,semiSkilled
favorable,asLongAsEligible,favorable,NA,NA,NA,poor,NA,favorable,poor,NA,NA,favorable,unskilledDomesticPersonalService
NA,neverThoughtAboutIt,favorableAndUnfavorable,integration,NA,NA,NA,noBiracialLivingExperience,NA,NA,highSchoolGraduate,NA,NA,NA
favorable,NA,favorable,NA,liberalFriend,liberal,good,NA,favorable,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,conflict,NA,NA,poor,biracialLivingExperience,NA,poor,someHighSchool,NA,unfavorable,unskilledDomesticPersonalService
favorable,NA,favorable,mutualAcomodataion,ambivalentFriend,liberal,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,asLongAsEligible,favorable,conflict,NA,NA,good,biracialLivingExperience,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,someHighSchool,favorable,favorable,NA
unfavorable,asLongAsEligible,unfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,poor,NA,NA,good,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,fair,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
