id,group,evaluationOfHilltown,group,impressionOfFriends,expectations,attitudeOfFriend,attitude,satisfactionInWorkplace,evaluationOfManagement,evaluationOfPhysicalAmenities,satisfactionInField,transiency,education,evaluationOfCoResidents,pastExperience,occupation
1_b,b,NA,b,favorableAndUnfavorable,integration,NA,NA,poor,NA,favorable,good,untilOwnHome,grade_school_or_less,NA,no_biracial_living_experience,unskilled_domestic_and_personal_service
2_b,b,favorable,b,favorableAndUnfavorable,NA,liberalFriend,liberal,poor,NA,NA,NA,asLongAsEligible,NA,NA,NA,NA
3_b,b,NA,b,noComments,mutual_acomodation,NA,NA,hard_to_say,NA,NA,poor,asLongAsEligible,NA,NA,biracial_living_experience,NA
4_b,b,favorable,b,noComments,mutual_acomodation,liberalFriend,liberal,hard_to_say,NA,favorable,NA,neverThoughtAboutIt,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
5_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,liberal,fair,favorable,NA,NA,NA,high_school_graduate,NA,biracial_living_experience,semiskilled
6_b,b,NA,b,NA,mutual_acomodation,ambivalentFriend,liberal,poor,NA,unfavorable,NA,neverThoughtAboutIt,NA,unfavorable,biracial_living_experience,NA
7_b,b,favorable,b,NA,NA,liberalFriend,liberal,NA,NA,NA,poor,untilBetterPlace,NA,NA,NA,NA
8_b,b,favorable,b,favorable,mutual_acomodation,NA,NA,good,NA,favorable,NA,NA,NA,NA,biracial_living_experience,NA
9_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,poor,NA,favorable,poor,asLongAsEligible,NA,NA,biracial_living_experience,NA
10_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,NA,NA,favorable,NA,permanent,high_school_graduate,NA,NA,semiskilled
11_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,poor,NA,favorable,poor,asLongAsEligible,NA,NA,biracial_living_experience,NA
12_b,b,favorable,b,favorable,integration,liberalFriend,liberal,NA,NA,favorable,good,neverThoughtAboutIt,NA,NA,biracial_living_experience,NA
13_b,b,unfavorable,b,favorableAndUnfavorable,NA,liberalFriend,liberal,poor,NA,favorable,NA,untilBetterPlace,grade_school_or_less,NA,NA,semiskilled
14_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,ambivalent,poor,NA,favorable,poor,NA,NA,NA,biracial_living_experience,NA
15_b,b,NA,b,favorableAndUnfavorable,mutual_acomodation,NA,NA,NA,NA,favorable,poor,untilBetterPlace,high_school_graduate,NA,biracial_living_experience,unskilled_domestic_and_personal_service
16_b,b,favorable,b,favorable,NA,liberalFriend,liberal,NA,NA,NA,poor,untilBetterPlace,NA,NA,NA,NA
17_b,b,favorable,b,NA,NA,NA,NA,NA,NA,favorable,hard_to_say,neverThoughtAboutIt,NA,NA,NA,NA
18_b,b,favorable,b,NA,NA,NA,NA,NA,NA,favorable,poor,untilOwnHome,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
19_b,b,favorable,b,favorable,NA,liberalFriend,liberal,poor,NA,favorable,poor,asLongAsEligible,NA,NA,NA,NA
20_b,b,NA,b,NA,NA,NA,NA,NA,favorable,favorable,NA,permanent,some_high_school,NA,NA,semiskilled
21_b,b,NA,b,favorableAndUnfavorable,conflict,liberalFriend,liberal,NA,NA,favorable,good,neverThoughtAboutIt,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
22_b,b,favorable,b,favorable,conflict,NA,NA,NA,NA,favorable,hard_to_say,NA,NA,NA,biracial_living_experience,NA
23_b,b,favorable,b,NA,NA,NA,NA,hard_to_say,NA,favorable,NA,NA,grade_school_or_less,NA,NA,white_collar_or_skilled
24_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,liberal,NA,favorable,NA,good,NA,NA,NA,biracial_living_experience,NA
25_b,b,unfavorable,b,favorableAndUnfavorable,conflict,ambivalentFriend,liberal,NA,NA,favorable,NA,untilBetterPlace,grade_school_or_less,NA,biracial_living_experience,semiskilled
26_b,b,favorable,b,unfavorable,mutual_acomodation,NA,NA,poor,NA,favorable,NA,NA,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
27_b,b,favorable,b,NA,NA,liberalFriend,liberal,NA,NA,NA,poor,neverThoughtAboutIt,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
28_b,b,favorable,b,favorable,NA,liberalFriend,liberal,poor,NA,NA,NA,untilOwnHome,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
29_b,b,favorable,b,favorableAndUnfavorable,mutual_acomodation,ambivalentFriend,liberal,NA,NA,NA,NA,permanent,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
30_b,b,NA,b,favorable,NA,liberalFriend,ambivalent,poor,NA,NA,NA,NA,some_high_school,NA,NA,unskilled_domestic_and_personal_service
31_b,b,favorable,b,favorableAndUnfavorable,conflict,NA,NA,NA,NA,favorable,poor,asLongAsEligible,NA,favorable,biracial_living_experience,NA
32_b,b,favorable,b,favorableAndUnfavorable,mutual_acomodation,NA,NA,poor,NA,NA,good,NA,NA,NA,biracial_living_experience,NA
33_b,b,NA,b,NA,NA,liberalFriend,liberal,poor,NA,favorable,hard_to_say,untilOwnHome,NA,NA,NA,NA
34_b,b,unfavorable,b,favorable,NA,liberalFriend,liberal,good,NA,NA,NA,NA,high_school_graduate,NA,NA,semiskilled
35_b,b,favorable,b,favorableAndUnfavorable,integration,liberalFriend,liberal,good,NA,NA,poor,neverThoughtAboutIt,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
36_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,liberal,good,NA,favorable,poor,untilBetterPlace,high_school_graduate,NA,biracial_living_experience,white_collar_or_skilled
37_b,b,favorable,b,noComments,NA,liberalFriend,liberal,NA,NA,NA,good,asLongAsEligible,NA,NA,NA,NA
38_b,b,favorable,b,NA,mutual_acomodation,NA,NA,NA,favorable,favorable,poor,asLongAsEligible,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
39_b,b,favorable,b,unfavorable,mutual_acomodation,liberalFriend,liberal,NA,NA,favorable,NA,NA,high_school_graduate,NA,biracial_living_experience,semiskilled
40_b,b,favorable,b,favorable,mutual_acomodation,NA,NA,NA,NA,favorable,good,asLongAsEligible,NA,NA,biracial_living_experience,NA
41_b,b,NA,b,NA,NA,liberalFriend,liberal,NA,NA,NA,poor,untilBetterPlace,grade_school_or_less,unfavorable,NA,unskilled_domestic_and_personal_service
42_b,b,favorable,b,favorableAndUnfavorable,NA,liberalFriend,ambivalent,good,NA,NA,fair,neverThoughtAboutIt,high_school_graduate,NA,NA,unskilled_domestic_and_personal_service
43_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,poor,NA,favorable,NA,neverThoughtAboutIt,some_high_school,NA,NA,unskilled_domestic_and_personal_service
44_b,b,favorable,b,favorable,NA,NA,NA,NA,NA,favorable,hard_to_say,untilOwnHome,some_high_school,NA,NA,unskilled_domestic_and_personal_service
45_b,b,favorable,b,NA,NA,NA,NA,NA,NA,favorable,NA,asLongAsEligible,grade_school_or_less,NA,NA,white_collar_or_skilled
46_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,NA,NA,favorable,poor,untilBetterPlace,NA,NA,no_biracial_living_experience,NA
47_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,fair,NA,favorable,NA,untilOwnHome,NA,favorable,NA,NA
48_b,b,favorable,b,favorableAndUnfavorable,mutual_acomodation,ambivalentFriend,liberal,NA,NA,favorable,good,asLongAsEligible,some_high_school,favorable,biracial_living_experience,unskilled_domestic_and_personal_service
49_b,b,favorable,b,unfavorable,conflict,NA,NA,NA,NA,favorable,good,asLongAsEligible,high_school_graduate,NA,biracial_living_experience,unskilled_domestic_and_personal_service
50_b,b,favorable,b,favorable,NA,liberalFriend,liberal,good,NA,favorable,NA,asLongAsEligible,some_high_school,favorable,NA,unskilled_domestic_and_personal_service
51_b,b,favorable,b,favorable,NA,ambivalentFriend,liberal,NA,NA,favorable,poor,NA,NA,NA,NA,NA
52_b,b,unfavorable,b,favorable,NA,NA,NA,good,NA,favorable,NA,asLongAsEligible,grade_school_or_less,NA,NA,semiskilled
53_b,b,favorable,b,unfavorable,mutual_acomodation,NA,NA,poor,NA,favorable,good,asLongAsEligible,NA,NA,biracial_living_experience,NA
54_b,b,favorable,b,NA,NA,NA,NA,good,NA,NA,NA,untilBetterPlace,some_high_school,NA,NA,semiskilled
55_b,b,favorable,b,favorable,NA,ambivalentFriend,liberal,good,NA,favorable,NA,neverThoughtAboutIt,some_high_school,NA,NA,semiskilled
56_b,b,favorable,b,favorable,NA,liberalFriend,liberal,NA,NA,favorable,good,untilBetterPlace,NA,favorable,NA,NA
57_b,b,NA,b,favorable,NA,NA,NA,poor,NA,NA,NA,NA,high_school_graduate,NA,NA,unskilled_domestic_and_personal_service
58_b,b,favorable,b,favorable,NA,NA,NA,poor,NA,favorable,NA,asLongAsEligible,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
59_b,b,favorable,b,NA,NA,ambivalentFriend,liberal,fair,NA,NA,poor,asLongAsEligible,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
60_b,b,favorable,b,NA,mutual_acomodation,NA,NA,poor,favorable,favorable,good,neverThoughtAboutIt,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
61_b,b,NA,b,favorable,integration,liberalFriend,liberal,hard_to_say,NA,NA,poor,untilBetterPlace,NA,NA,biracial_living_experience,NA
62_b,b,favorable,b,favorable,conflict,liberalFriend,liberal,hard_to_say,NA,favorable,poor,asLongAsEligible,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
63_b,b,favorable,b,favorable,NA,liberalFriend,liberal,hard_to_say,NA,NA,NA,asLongAsEligible,some_high_school,NA,NA,white_collar_or_skilled
64_b,b,favorable,b,favorable,NA,NA,NA,fair,NA,favorable,NA,asLongAsEligible,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
65_b,b,NA,b,favorable,NA,liberalFriend,liberal,poor,NA,NA,NA,NA,some_high_school,favorable,NA,semiskilled
66_b,b,favorable,b,favorable,mutual_acomodation,NA,NA,NA,NA,NA,good,untilBetterPlace,NA,NA,biracial_living_experience,NA
67_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,NA,NA,favorable,poor,asLongAsEligible,NA,NA,biracial_living_experience,NA
68_b,b,favorable,b,favorable,NA,NA,NA,hard_to_say,favorable,favorable,NA,asLongAsEligible,some_high_school,NA,NA,unskilled_domestic_and_personal_service
69_b,b,favorable,b,favorable,mutual_acomodation,NA,NA,NA,NA,favorable,hard_to_say,untilOwnHome,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
