id,group,evaluationOfHilltown,group,impressionOfFriends,expectations,attitudeOfFriend,attitude,transiency,evaluationOfManagement,evaluationOfPhysicalAmenities,satisfactionInField,satisfactionInWorkplace,education,evaluationOfCoResidents,pastExperience,occupation
1_b,b,NA,b,favorable,mutual_acomodation,NA,NA,untilBetterPlace,NA,favorable,hard_to_say,NA,high_school_graduate,favorable,no_biracial_living_experience,semiskilled
2_b,b,favorable,b,favorable,NA,NA,NA,NA,NA,favorable,poor,NA,some_high_school,NA,NA,unskilled_domestic_and_personal_service
3_b,b,NA,b,favorable,NA,liberalFriend,liberal,neverThoughtAboutIt,NA,NA,NA,poor,NA,NA,NA,NA
4_b,b,favorable,b,NA,NA,NA,NA,NA,NA,favorable,good,NA,NA,NA,NA,NA
5_b,b,favorable,b,favorable,NA,NA,NA,asLongAsEligible,NA,unfavorable,NA,poor,grade_school_or_less,NA,NA,white_collar_or_skilled
6_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,asLongAsEligible,NA,NA,hard_to_say,NA,NA,NA,NA,NA
7_b,b,favorable,b,NA,NA,liberalFriend,liberal,asLongAsEligible,NA,favorable,NA,hard_to_say,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
8_b,b,favorable,b,favorable,NA,ambivalentFriend,liberal,neverThoughtAboutIt,NA,NA,hard_to_say,poor,NA,NA,NA,NA
9_b,b,favorable,b,NA,NA,NA,NA,asLongAsEligible,NA,NA,poor,good,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
10_b,b,favorable,b,favorable,NA,liberalFriend,liberal,NA,NA,favorable,poor,poor,some_high_school,NA,NA,unskilled_domestic_and_personal_service
11_b,b,favorable,b,favorable,NA,NA,NA,NA,NA,favorable,fair,NA,high_school_graduate,NA,NA,semiskilled
12_b,b,favorable,b,favorable,NA,liberalFriend,liberal,asLongAsEligible,NA,favorable,poor,poor,some_high_school,favorable,NA,unskilled_domestic_and_personal_service
13_b,b,favorable,b,NA,NA,liberalFriend,liberal,asLongAsEligible,NA,NA,NA,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
14_b,b,favorable,b,favorableAndUnfavorable,mutual_acomodation,liberalFriend,liberal,NA,NA,favorable,NA,fair,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
15_b,b,NA,b,favorable,NA,liberalFriend,liberal,asLongAsEligible,NA,favorable,NA,hard_to_say,NA,favorable,NA,NA
16_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,NA,NA,favorable,poor,good,NA,NA,biracial_living_experience,NA
17_b,b,favorable,b,NA,conflict,NA,NA,asLongAsEligible,NA,favorable,NA,fair,NA,NA,biracial_living_experience,NA
18_b,b,favorable,b,NA,conflict,NA,NA,NA,NA,favorable,good,NA,NA,NA,biracial_living_experience,NA
19_b,b,unfavorable,b,favorable,NA,NA,NA,untilOwnHome,NA,NA,poor,NA,some_high_school,NA,NA,unskilled_domestic_and_personal_service
20_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,permanent,NA,NA,good,fair,grade_school_or_less,favorable,biracial_living_experience,unskilled_domestic_and_personal_service
21_b,b,favorable,b,NA,NA,NA,NA,asLongAsEligible,NA,favorable,NA,hard_to_say,some_high_school,favorable,NA,semiskilled
22_b,b,favorable,b,NA,mutual_acomodation,NA,NA,asLongAsEligible,NA,NA,NA,good,some_high_school,favorable,biracial_living_experience,semiskilled
23_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,NA,NA,favorable,fair,poor,NA,NA,biracial_living_experience,NA
24_b,b,favorable,b,NA,NA,NA,NA,untilBetterPlace,NA,favorable,poor,poor,NA,favorable,NA,NA
25_b,b,favorable,b,noComments,NA,NA,NA,asLongAsEligible,NA,favorable,good,poor,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
26_b,b,favorable,b,favorable,NA,liberalFriend,ambivalent,NA,NA,NA,poor,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
27_b,b,favorable,b,favorable,NA,liberalFriend,liberal,untilBetterPlace,NA,favorable,NA,NA,high_school_graduate,favorable,NA,white_collar_or_skilled
28_b,b,unfavorable,b,unfavorable,NA,NA,NA,NA,NA,favorable,fair,NA,some_high_school,NA,NA,white_collar_or_skilled
