id,evaluationOfHilltown,transiency,impressionOfFriends,expectations,attitudeOfFriend,attitude,satisfactionInWorkplace,pastExperience,evaluationOfPhysicalAmenities,satisfactionInField,education,evaluationOfCoResidents,evaluationOfManagement,occupation
1,favorable,asLongAsEligible,NA,NA,NA,NA,poor,NA,NA,good,NA,NA,NA,unskilledDomesticPersonalService
2,favorable,untilOwnHome,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,unfavorable,NA,someHighSchool,unfavorable,NA,NA
3,favorable,asLongAsEligible,favorable,NA,NA,NA,hardToSay,NA,NA,fair,someHighSchool,NA,NA,whiteColorSkilled
4,favorable,asLongAsEligible,favorable,NA,NA,NA,NA,NA,NA,NA,someHighSchool,NA,NA,NA
5,favorable,NA,favorable,mutualAcomodataion,NA,NA,hardToSay,biracialLivingExperience,favorable,poor,someHighSchool,favorable,NA,unskilledDomesticPersonalService
6,favorable,neverThoughtAboutIt,favorable,conflict,NA,NA,poor,biracialLivingExperience,favorable,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
7,NA,NA,unfavorable,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
8,favorable,asLongAsEligible,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
9,favorable,untilOwnHome,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
10,favorable,NA,favorable,mutualAcomodataion,liberalFriend,ambivalent,NA,biracialLivingExperience,NA,NA,someHighSchool,NA,favorable,NA
11,favorable,neverThoughtAboutIt,unfavorable,NA,liberalFriend,liberal,NA,NA,NA,NA,highSchoolGraduate,NA,NA,NA
12,NA,NA,NA,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
13,favorable,neverThoughtAboutIt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,favorable,NA,favorable,mutualAcomodataion,NA,NA,hardToSay,biracialLivingExperience,favorable,hardToSay,gradeSchoolOrLess,favorable,NA,unskilledDomesticPersonalService
15,favorable,untilBetterPlace,favorable,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
16,NA,permanent,favorable,NA,liberalFriend,liberal,good,NA,NA,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
17,favorable,permanent,NA,NA,liberalFriend,liberal,poor,NA,NA,poor,gradeSchoolOrLess,favorable,NA,unskilledDomesticPersonalService
18,favorable,asLongAsEligible,favorable,NA,NA,NA,poor,NA,favorable,poor,gradeSchoolOrLess,NA,NA,semiSkilled
19,NA,asLongAsEligible,NA,NA,NA,NA,poor,NA,NA,fair,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
20,favorable,neverThoughtAboutIt,NA,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
21,favorable,neverThoughtAboutIt,NA,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,hardToSay,NA,NA,NA,semiSkilled
22,favorable,neverThoughtAboutIt,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,favorable,NA,NA
23,favorable,permanent,noComments,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,favorable,NA,NA
24,NA,permanent,favorable,NA,liberalFriend,liberal,poor,NA,NA,good,someHighSchool,NA,NA,unskilledDomesticPersonalService
25,favorable,NA,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
26,favorable,asLongAsEligible,favorable,mutualAcomodataion,NA,NA,good,biracialLivingExperience,NA,fair,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
27,favorable,untilOwnHome,unfavorable,mutualAcomodataion,NA,NA,fair,biracialLivingExperience,favorable,hardToSay,gradeSchoolOrLess,NA,NA,semiSkilled
28,favorable,NA,NA,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
29,favorable,untilBetterPlace,NA,NA,NA,NA,hardToSay,NA,NA,good,NA,NA,NA,unskilledDomesticPersonalService
30,favorable,neverThoughtAboutIt,favorable,NA,liberalFriend,ambivalent,NA,NA,NA,NA,NA,NA,NA,NA
31,favorable,untilBetterPlace,favorableAndUnfavorable,NA,NA,NA,good,NA,NA,good,NA,NA,NA,whiteColorSkilled
32,favorable,NA,NA,NA,liberalFriend,liberal,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
33,favorable,permanent,NA,NA,NA,NA,NA,NA,favorable,NA,highSchoolGraduate,NA,NA,NA
34,favorable,NA,favorable,mutualAcomodataion,ambivalentFriend,liberal,NA,noBiracialLivingExperience,favorable,NA,gradeSchoolOrLess,favorable,NA,NA
35,favorable,asLongAsEligible,unfavorable,NA,liberalFriend,liberal,good,NA,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
36,favorable,untilBetterPlace,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,good,someHighSchool,NA,NA,whiteColorSkilled
37,NA,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,ambivalent,hardToSay,biracialLivingExperience,favorable,good,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
38,favorable,untilOwnHome,favorableAndUnfavorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,NA,fair,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
39,favorable,permanent,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
40,favorable,permanent,favorableAndUnfavorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
41,favorable,NA,favorableAndUnfavorable,NA,NA,NA,hardToSay,NA,favorable,fair,NA,NA,NA,whiteColorSkilled
