id,group,evaluationOfHilltown,group,impressionOfFriends,expectations,attitudeOfFriend,attitude,transiency,evaluationOfManagement,evaluationOfPhysicalAmenities,satisfactionInField,satisfactionInWorkplace,education,evaluationOfCoResidents,pastExperience,occupation
1,b,favorable,b,favorableAndUnfavorable,NA,liberalFriend,liberal,NA,NA,NA,NA,poor,high_school_graduate,NA,NA,unskilled_domestic_and_personal_service
2,b,favorable,b,NA,NA,liberalFriend,liberal,permanent,favorable,NA,good,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
3,b,favorable,b,NA,mutual_acomodation,NA,NA,NA,NA,NA,fair,hard_to_say,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
4,b,favorable,b,favorable,conflict,ambivalentFriend,liberal,untilBetterPlace,NA,NA,hard_to_say,poor,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
5,b,favorable,b,favorableAndUnfavorable,integration,liberalFriend,liberal,NA,NA,favorable,good,NA,NA,NA,biracial_living_experience,NA
6,b,favorable,b,favorable,mutual_acomodation,NA,NA,permanent,NA,favorable,NA,poor,NA,NA,biracial_living_experience,NA
7,b,favorable,b,favorable,NA,NA,NA,asLongAsEligible,NA,favorable,good,NA,some_high_school,NA,NA,white_collar_or_skilled
8,b,favorable,b,favorable,NA,NA,NA,NA,NA,favorable,NA,NA,some_high_school,NA,NA,semiskilled
9,b,favorable,b,favorable,NA,NA,NA,asLongAsEligible,NA,favorable,NA,fair,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
10,b,favorable,b,favorableAndUnfavorable,mutual_acomodation,NA,NA,NA,NA,favorable,poor,NA,NA,NA,biracial_living_experience,NA
11,b,favorable,b,favorable,mutual_acomodation,NA,NA,permanent,NA,favorable,NA,NA,NA,NA,biracial_living_experience,NA
12,b,unfavorable,b,NA,NA,NA,NA,NA,NA,NA,NA,poor,some_high_school,NA,NA,semiskilled
13,b,NA,b,NA,mutual_acomodation,NA,NA,asLongAsEligible,NA,favorable,hard_to_say,NA,NA,NA,biracial_living_experience,NA
14,b,favorable,b,NA,NA,liberalFriend,liberal,neverThoughtAboutIt,NA,favorable,good,good,NA,NA,NA,NA
15,b,favorable,b,favorable,integration,NA,NA,NA,favorable,NA,poor,NA,some_high_school,NA,biracial_living_experience,semiskilled
16,b,favorable,b,favorableAndUnfavorable,conflict,NA,NA,untilBetterPlace,NA,favorable,good,poor,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
17,b,favorable,b,favorable,mutual_acomodation,ambivalentFriend,liberal,untilOwnHome,NA,favorable,NA,NA,NA,favorable,biracial_living_experience,NA
18,b,favorable,b,favorable,integration,NA,NA,untilOwnHome,NA,favorable,poor,NA,high_school_graduate,NA,biracial_living_experience,unskilled_domestic_and_personal_service
19,b,favorable,b,unfavorable,mutual_acomodation,NA,NA,NA,NA,NA,NA,poor,some_high_school,NA,biracial_living_experience,white_collar_or_skilled
20,b,favorable,b,favorable,NA,NA,NA,untilBetterPlace,NA,favorable,NA,fair,some_high_school,NA,NA,white_collar_or_skilled
21,b,favorable,b,unfavorable,mutual_acomodation,NA,NA,asLongAsEligible,NA,favorable,poor,NA,NA,NA,biracial_living_experience,NA
22,b,favorable,b,NA,mutual_acomodation,NA,NA,neverThoughtAboutIt,NA,favorable,NA,good,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
23,b,NA,b,favorableAndUnfavorable,NA,NA,NA,untilBetterPlace,NA,favorable,poor,NA,grade_school_or_less,unfavorable,NA,unskilled_domestic_and_personal_service
24,b,unfavorable,b,favorableAndUnfavorable,NA,NA,NA,asLongAsEligible,NA,favorable,poor,hard_to_say,NA,NA,NA,NA
25,b,favorable,b,unfavorable,NA,NA,NA,NA,NA,NA,good,NA,some_high_school,NA,NA,semiskilled
26,b,unfavorable,b,favorableAndUnfavorable,NA,NA,NA,asLongAsEligible,NA,NA,NA,poor,some_high_school,NA,NA,white_collar_or_skilled
